Date,Cases,Deaths
1/26/20,5,0
1/27/20,5,0
1/28/20,5,0
1/29/20,6,0
1/30/20,6,0
1/31/20,8,0
2/1/20,8,0
2/2/20,8,0
2/3/20,11,0
2/4/20,11,0
2/5/20,11,0
2/6/20,12,0
2/7/20,12,0
2/8/20,12,0
2/9/20,12,0
2/10/20,12,0
2/11/20,13,0
2/12/20,13,0
2/13/20,14,0
2/14/20,14,0
2/15/20,14,0
2/16/20,14,0
2/17/20,14,0
2/18/20,14,0
2/19/20,14,0
2/20/20,14,0
2/21/20,16,0
2/22/20,16,0
2/23/20,16,0
2/24/20,16,0
2/25/20,16,0
2/26/20,16,0
2/27/20,17,0
2/28/20,17,0
2/29/20,25,1
3/1/20,32,1
3/2/20,55,6
3/3/20,74,7
3/4/20,107,11
3/5/20,184,12
3/6/20,237,14
3/7/20,403,17
3/8/20,519,21
3/9/20,594,22
3/10/20,782,28
3/11/20,"1,147",33
3/12/20,"1,586",43
3/13/20,"2,219",51
3/14/20,"2,978",58
3/15/20,"3,212",70
3/16/20,"4,679",97
3/17/20,"6,512",134
3/18/20,"9,169",194
3/19/20,"13,663",266
3/20/20,"20,030",372
3/21/20,"26,025",475
3/22/20,"34,944",603
3/23/20,"46,096",790
3/24/20,"56,714","1,033"
3/25/20,"68,841","1,366"
3/26/20,"86,662","1,783"
3/27/20,"105,253","2,305"
3/28/20,"127,417","3,018"
3/29/20,"143,544","3,573"
3/30/20,"165,698","4,280"
3/31/20,"192,079","5,359"
4/1/20,"223,254","6,611"
4/2/20,"255,530","8,142"
4/3/20,"287,931","9,562"
4/4/20,"319,776","11,165"
4/5/20,"349,016","12,781"
4/6/20,"380,798","14,523"
4/7/20,"410,834","17,099"
4/8/20,"441,897","19,249"
4/9/20,"477,507","21,463"
4/10/20,"511,790","23,650"
4/11/20,"540,714","25,786"
4/12/20,"567,022","27,675"
4/13/20,"594,165","29,660"
4/14/20,"622,493","32,133"
4/15/20,"648,390","34,731"
4/16/20,"678,028","36,914"
4/17/20,"711,135","39,009"
4/18/20,"738,464","40,955"
4/19/20,"763,886","42,935"
4/20/20,"793,970","45,180"
4/21/20,"820,045","47,662"
4/22/20,"849,926","50,129"
4/23/20,"881,891","52,543"
4/24/20,"913,856","54,712"
4/25/20,"944,770","56,446"
4/26/20,"970,741","57,852"
4/27/20,"995,391","59,332"
4/28/20,"1,019,964","61,576"
4/29/20,"1,046,816","63,968"
4/30/20,"1,076,518","66,159"
5/1/20,"1,111,410","68,067"
5/2/20,"1,138,174","69,810"
5/3/20,"1,161,907","71,013"
5/4/20,"1,185,709","72,371"
5/5/20,"1,209,728","74,592"
5/6/20,"1,234,210","76,914"
5/7/20,"1,261,949","78,829"
5/8/20,"1,289,132","80,600"
5/9/20,"1,313,586","82,066"
5/10/20,"1,332,333","83,066"
5/11/20,"1,351,410","84,101"
5/12/20,"1,374,791","85,690"
5/13/20,"1,394,806","87,425"
5/14/20,"1,420,696","89,198"
5/15/20,"1,445,547","90,863"
5/16/20,"1,469,597","92,060"
5/17/20,"1,488,326","92,890"
5/18/20,"1,510,634","94,110"
5/19/20,"1,531,137","95,555"
5/20/20,"1,553,965","97,058"
5/21/20,"1,579,117","98,246"
5/22/20,"1,602,946","99,450"
5/23/20,"1,623,135","100,524"
5/24/20,"1,643,309","101,165"
5/25/20,"1,662,403","101,762"
5/26/20,"1,681,129","102,419"
5/27/20,"1,699,892","103,898"
5/28/20,"1,721,159","104,987"
5/29/20,"1,746,241","106,104"
5/30/20,"1,769,321","107,056"
5/31/20,"1,788,240","107,677"
6/1/20,"1,806,080","108,451"
6/2/20,"1,826,170","109,432"
6/3/20,"1,845,326","110,443"
